Country,date,total_cases,total_deaths,index,Population_2020,index,Area
Afghanistan,12/31/19,0,0,131,38928.341,0,6528.6
Afghanistan,1/1/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/2/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/3/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/4/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/5/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/6/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/7/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/8/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/9/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/10/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/11/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/12/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/13/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/14/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/15/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/16/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/17/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/18/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/19/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/20/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/21/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/22/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/23/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/24/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/25/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/26/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/27/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/28/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/29/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/30/20,0,0,131,38928.341,0,6528.6
Afghanistan,1/31/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/1/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/2/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/3/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/4/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/5/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/6/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/7/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/8/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/9/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/10/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/11/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/12/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/13/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/14/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/15/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/16/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/17/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/18/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/19/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/20/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/21/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/22/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/23/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/24/20,0,0,131,38928.341,0,6528.6
Afghanistan,2/25/20,1,0,131,38928.341,0,6528.6
Afghanistan,2/26/20,1,0,131,38928.341,0,6528.6
Afghanistan,2/27/20,1,0,131,38928.341,0,6528.6
Afghanistan,2/28/20,1,0,131,38928.341,0,6528.6
Afghanistan,2/29/20,1,0,131,38928.341,0,6528.6
Afghanistan,3/1/20,1,0,131,38928.341,0,6528.6
Afghanistan,3/2/20,1,0,131,38928.341,0,6528.6
Afghanistan,3/8/20,4,0,131,38928.341,0,6528.6
Afghanistan,3/11/20,7,0,131,38928.341,0,6528.6
Afghanistan,3/15/20,10,0,131,38928.341,0,6528.6
Afghanistan,3/16/20,16,0,131,38928.341,0,6528.6
Afghanistan,3/17/20,21,0,131,38928.341,0,6528.6
Afghanistan,3/18/20,22,0,131,38928.341,0,6528.6
Afghanistan,3/19/20,22,0,131,38928.341,0,6528.6
Afghanistan,3/20/20,22,0,131,38928.341,0,6528.6
Afghanistan,3/21/20,24,0,131,38928.341,0,6528.6
Afghanistan,3/22/20,24,0,131,38928.341,0,6528.6
Afghanistan,3/23/20,34,0,131,38928.341,0,6528.6
Afghanistan,3/24/20,40,1,131,38928.341,0,6528.6
Afghanistan,3/25/20,42,1,131,38928.341,0,6528.6
Afghanistan,3/26/20,75,1,131,38928.341,0,6528.6
Afghanistan,3/27/20,75,1,131,38928.341,0,6528.6
Afghanistan,3/28/20,91,2,131,38928.341,0,6528.6
Afghanistan,3/29/20,106,3,131,38928.341,0,6528.6
Afghanistan,3/30/20,114,4,131,38928.341,0,6528.6
Afghanistan,3/31/20,141,4,131,38928.341,0,6528.6
Afghanistan,4/1/20,166,4,131,38928.341,0,6528.6
Afghanistan,4/2/20,192,4,131,38928.341,0,6528.6
Afghanistan,4/3/20,235,4,131,38928.341,0,6528.6
