date,region,deaths,cases
2020-02-24T18:00:00,Abruzzo,0,0
2020-02-24T18:00:00,Basilicata,0,0
2020-02-24T18:00:00,Calabria,0,0
2020-02-24T18:00:00,Campania,0,0
2020-02-24T18:00:00,Emilia-Romagna,0,18
2020-02-24T18:00:00,Friuli Venezia Giulia,0,0
2020-02-24T18:00:00,Lazio,0,3
2020-02-24T18:00:00,Liguria,0,0
2020-02-24T18:00:00,Lombardia,6,172
2020-02-24T18:00:00,Marche,0,0
2020-02-24T18:00:00,Molise,0,0
2020-02-24T18:00:00,P.A. Bolzano,0,0
2020-02-24T18:00:00,P.A. Trento,0,0
2020-02-24T18:00:00,Piemonte,0,3
2020-02-24T18:00:00,Puglia,0,0
2020-02-24T18:00:00,Sardegna,0,0
2020-02-24T18:00:00,Sicilia,0,0
2020-02-24T18:00:00,Toscana,0,0
2020-02-24T18:00:00,Umbria,0,0
2020-02-24T18:00:00,Valle d'Aosta,0,0
2020-02-24T18:00:00,Veneto,1,33
2020-02-25T18:00:00,Abruzzo,0,0
2020-02-25T18:00:00,Basilicata,0,0
2020-02-25T18:00:00,Calabria,0,0
2020-02-25T18:00:00,Campania,0,0
2020-02-25T18:00:00,Emilia-Romagna,0,26
2020-02-25T18:00:00,Friuli Venezia Giulia,0,0
2020-02-25T18:00:00,Lazio,0,3
2020-02-25T18:00:00,Liguria,0,1
2020-02-25T18:00:00,Lombardia,9,240
2020-02-25T18:00:00,Marche,0,0
2020-02-25T18:00:00,Molise,0,0
2020-02-25T18:00:00,P.A. Bolzano,0,1
2020-02-25T18:00:00,P.A. Trento,0,0
2020-02-25T18:00:00,Piemonte,0,3
2020-02-25T18:00:00,Puglia,0,0
2020-02-25T18:00:00,Sardegna,0,0
2020-02-25T18:00:00,Sicilia,0,3
2020-02-25T18:00:00,Toscana,0,2
2020-02-25T18:00:00,Umbria,0,0
2020-02-25T18:00:00,Valle d'Aosta,0,0
2020-02-25T18:00:00,Veneto,1,43
2020-02-26T18:00:00,Abruzzo,0,0
